"ID","SALE.TYPE","SOLD.DATE","PROPERTY.TYPE","CITY","STATE","ZIP","BEDS","BATHS","LOCATION","SQUARE.FEET","LOT.SIZE","YEAR.BUILT","DAYS.ON.MARKET","X..SQUARE.FEET","HOA.MONTH","STATUS","NEXT.OPEN.HOUSE.START.TIME","NEXT.OPEN.HOUSE.END.TIME","SOURCE","FAVORITE","INTERESTED","LATITUDE","LONGITUDE","TARGET"
3664,"MLS Listing",NA,"Vacant Land","Jacksonville","FL","32254",NA,NA,"Furman",NA,NA,NA,1142,NA,NA,"Active","","","NEFLMLS","N","Y","30.3"," -81.7","FALSE"
3665,"MLS Listing",NA,"Single Family Residential","Miami","FL","33134",3,2,"Tamiami Highlands",1930,5400,1969,64,222,NA,"Active","","","MARMLS","N","Y","25.8"," -80.3","TRUE"
3666,"MLS Listing",NA,"Single Family Residential","Jacksonville","FL","32256",5,5.5,"Deerwood",5179,NA,1983,21,156,165,"Active","","","NEFLMLS","N","Y","30.2"," -81.5","TRUE"
3667,"MLS Listing",NA,"Single Family Residential","Baltimore","MD","21215",8,1,"Dolfield",2272,6000,1900,7,31,NA,"Active","","","MRIS","N","Y","39.3"," -76.7","FALSE"
3668,"MLS Listing",NA,"Single Family Residential","Anaheim","CA","92804",4,1.75,"79 - Anaheim West of Harbor",1952,7200,1956,122,320,NA,"Active","","","CRMLS","N","Y","33.8","-118.0","TRUE"
3669,"MLS Listing",NA,"Condo/Co-op","Bronx","NY","10455",2,1.5,"Bronx",1100,61423,2010,30,295,NA,"Active","","","HGMLS","N","Y","40.8"," -73.9","TRUE"
3670,"MLS Listing",NA,"Single Family Residential","Miami","FL","33145",2,1,"Amnd Miami Suburban Acres",1000,6500,1951,151,360,NA,"Active","","","MARMLS","N","Y","25.7"," -80.2","TRUE"
3671,"MLS Listing",NA,"Single Family Residential","Orlando","FL","32809",3,2,"Orlando",1469,6232,1984,11,126,NA,"Active","","","MFRMLS","N","Y","28.5"," -81.4","FALSE"
3672,"MLS Listing",NA,"Condo/Co-op","Coral Gables","FL","33134",2,2,"The Minorca Condo",1114,NA,2005,71,346,575,"Active","","","MARMLS","N","Y","25.8"," -80.3","TRUE"
3673,"MLS Listing",NA,"Townhouse","Baltimore","MD","21217",4,2,"Sand Town Winchester",NA,2001,1920,335,NA,NA,"Active","","","MRIS","N","Y","39.3"," -76.6","FALSE"
3674,"MLS Listing",NA,"Single Family Residential","Flushing","NY","11358",3,2.5,"Flushing",NA,2150,1930,78,NA,NA,"Active","","","MLSLI","N","Y","40.8"," -73.8","TRUE"
3675,"MLS Listing",NA,"Single Family Residential","Laguna Hills","CA","92653",5,6,"S2 - Laguna Hills",6210,13500,1991,286,354,111,"Active","","","CRMLS","N","Y","33.6","-117.7","TRUE"
3676,"New Construction Plan",NA,"Townhouse","Morrisville","NC","27560",3,2.5,"Phillips Place",1895,NA,NA,NA,164,NA,"Active","","","NewHomeSource.com","N","Y","35.8"," -78.9","TRUE"
3677,"MLS Listing",NA,"Condo/Co-op","Miami","FL","33132",1,1.5,"Ten Museum Park",791,NA,2007,97,430,720,"Active","","","MARMLS","N","Y","25.8"," -80.2","TRUE"
3678,"MLS Listing",NA,"Single Family Residential","Lake Forest","CA","92630",4,2,"LS - Lake Forest South",1207,7245,1965,12,513,NA,"Active","","","CRMLS","N","Y","33.6","-117.7","TRUE"
3679,"MLS Listing",NA,"Single Family Residential","Newport Beach","CA","92663",5,5.75,"N6 - Newport Heights",5380,13608,2008,41,1077,NA,"Active","March-11-2018 01:00 PM","March-11-2018 04:30 PM","CRMLS","N","Y","33.6","-117.9","TRUE"
